
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
64:20:E0:19:F3:0A, 2025-01-08 21:57:32, 2025-01-08 22:07:33, 36, 866, WPA2 WPA, CCMP, PSK, -39,       23,       30,   0.  0.  0.  0,  11, Thor2558-5G, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
5E:90:FB:BF:D8:FC, 2025-01-08 21:57:32, 2025-01-08 22:07:30, -35,      612, 64:20:E0:19:F3:0A,
92:52:2D:97:C0:B9, 2025-01-08 21:57:37, 2025-01-08 22:07:33, -84,       42, 64:20:E0:19:F3:0A,Thor2558-5G
C2:D2:BA:3A:7B:6A, 2025-01-08 21:57:52, 2025-01-08 22:06:50, -79,       88, 64:20:E0:19:F3:0A,
46:2E:B4:66:17:D0, 2025-01-08 21:58:19, 2025-01-08 22:04:35, -77,        4, F2:B5:87:8C:8F:27,
CE:C9:0A:7F:E1:0E, 2025-01-08 21:58:19, 2025-01-08 22:05:06, -69,       28, 64:20:E0:19:F3:09,Thor2558
12:A5:F9:3C:68:A7, 2025-01-08 21:58:20, 2025-01-08 22:03:52, -57,        3, 64:20:E0:19:F3:0A,
82:C2:6E:30:43:30, 2025-01-08 21:58:30, 2025-01-08 21:58:30, -71,        1, 64:20:E0:19:F3:09,
74:4C:A1:7D:09:A3, 2025-01-08 21:58:30, 2025-01-08 22:00:35, -65,        5, 64:20:E0:19:F3:0A,
90:DE:80:AC:05:B3, 2025-01-08 21:58:41, 2025-01-08 22:07:33, -66,       67, 64:20:E0:19:F3:0A,
16:76:C5:E5:C2:E9, 2025-01-08 21:58:41, 2025-01-08 22:07:31, -74,       27, 64:20:E0:19:F3:0A,
6E:C1:F3:AC:BD:35, 2025-01-08 21:58:50, 2025-01-08 22:06:49, -35,       33, 64:20:E0:19:F3:09,
B2:B2:54:53:D9:9A, 2025-01-08 21:58:51, 2025-01-08 22:05:04, -78,        6, 64:20:E0:19:F3:0A,
02:EF:B9:59:D0:C8, 2025-01-08 21:59:05, 2025-01-08 22:05:04, -75,       10, 64:20:E0:19:F3:0A,
FA:84:10:EC:FF:6F, 2025-01-08 21:59:05, 2025-01-08 22:06:50, -56,       37, 64:20:E0:19:F3:0A,
12:7E:EB:8F:B4:9D, 2025-01-08 21:59:32, 2025-01-08 21:59:32, -69,        2, (not associated) ,
08:1A:1E:87:48:8E, 2025-01-08 22:00:34, 2025-01-08 22:06:49,  -1,        2, 64:20:E0:19:F3:09,
08:1A:1E:98:29:F6, 2025-01-08 22:00:34, 2025-01-08 22:06:49,  -1,        2, 64:20:E0:19:F3:09,
12:23:7A:50:87:46, 2025-01-08 22:00:43, 2025-01-08 22:07:31, -84,       12, 00:00:00:00:00:00,Thor2558-5G
92:2B:38:D2:C3:B8, 2025-01-08 22:01:37, 2025-01-08 22:01:37, -79,        1, (not associated) ,
2A:16:6B:4F:72:5D, 2025-01-08 22:02:17, 2025-01-08 22:02:43, -58,        6, (not associated) ,
E2:FA:BD:E1:B4:9A, 2025-01-08 22:03:38, 2025-01-08 22:03:38, -56,        2, (not associated) ,
76:40:26:70:7F:9A, 2025-01-08 22:03:41, 2025-01-08 22:03:47, -84,       19, 4E:1B:40:52:31:2A,orn.ths__🦋
F2:C7:BF:4D:F8:F4, 2025-01-08 22:03:48, 2025-01-08 22:03:48, -73,        2, (not associated) ,
A2:02:90:EF:C3:52, 2025-01-08 22:04:10, 2025-01-08 22:04:10, -87,        2, (not associated) ,
5E:99:6B:BB:2C:8E, 2025-01-08 22:05:30, 2025-01-08 22:05:30, -71,        2, (not associated) ,
62:C1:50:24:6E:F2, 2025-01-08 22:05:54, 2025-01-08 22:05:54, -70,        2, (not associated) ,
2E:7F:95:8E:A6:F9, 2025-01-08 22:06:50, 2025-01-08 22:06:50, -39,        2, 64:20:E0:19:F3:0A,

