
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
64:20:E0:19:F3:0A, 2025-01-08 22:07:40, 2025-01-08 22:09:39, 36, 866, WPA2 WPA, CCMP, PSK, -36,        7,        6,   0.  0.  0.  0,  11, Thor2558-5G, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
16:76:C5:E5:C2:E9, 2025-01-08 22:07:40, 2025-01-08 22:09:39, -76,      253, 64:20:E0:19:F3:0A,
5E:90:FB:BF:D8:FC, 2025-01-08 22:07:44, 2025-01-08 22:09:38, -55,      130, 64:20:E0:19:F3:0A,
90:DE:80:AC:05:B3, 2025-01-08 22:07:45, 2025-01-08 22:08:24, -67,        4, 64:20:E0:19:F3:0A,
2E:7F:55:FC:F1:F2, 2025-01-08 22:08:14, 2025-01-08 22:08:14, -85,        2, (not associated) ,KORAKOT_5GHz
CE:C9:0A:7F:E1:0E, 2025-01-08 22:08:23, 2025-01-08 22:08:23, -62,        4, 64:20:E0:19:F3:09,
02:EF:B9:59:D0:C8, 2025-01-08 22:08:24, 2025-01-08 22:08:44, -78,        4, 64:20:E0:19:F3:0A,
B2:B2:54:53:D9:9A, 2025-01-08 22:08:24, 2025-01-08 22:09:22, -74,       13, 64:20:E0:19:F3:0A,Thor2558-5G
74:4C:A1:7D:09:A3, 2025-01-08 22:08:24, 2025-01-08 22:08:24, -68,        1, 64:20:E0:19:F3:0A,
C2:D2:BA:3A:7B:6A, 2025-01-08 22:08:32, 2025-01-08 22:09:15, -85,       10, 64:20:E0:19:F3:0A,
6E:C1:F3:AC:BD:35, 2025-01-08 22:08:34, 2025-01-08 22:09:28, -39,       13, 64:20:E0:19:F3:09,
2E:7F:95:8E:A6:F9, 2025-01-08 22:08:34, 2025-01-08 22:09:15, -35,        4, 64:20:E0:19:F3:0A,
46:2E:B4:66:17:D0, 2025-01-08 22:08:43, 2025-01-08 22:09:28, -77,        3, F2:B5:87:8C:8F:27,
FA:84:10:EC:FF:6F, 2025-01-08 22:08:44, 2025-01-08 22:09:29, -66,       20, 64:20:E0:19:F3:0A,
92:52:2D:97:C0:B9, 2025-01-08 22:09:01, 2025-01-08 22:09:01, -79,        2, (not associated) ,Thor2558-5G

