
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
64:20:E0:19:F3:0A, 2025-01-08 20:30:17, 2025-01-08 20:31:28, 36, 866, WPA2 WPA, CCMP, PSK, -38,        4,        0,   0.  0.  0.  0,  11, Thor2558-5G, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
5E:90:FB:BF:D8:FC, 2025-01-08 20:30:17, 2025-01-08 20:31:26, -35,       28, 64:20:E0:19:F3:0A,
6E:C1:F3:AC:BD:35, 2025-01-08 20:30:20, 2025-01-08 20:30:54, -39,       15, 64:20:E0:19:F3:09,
CE:C9:0A:7F:E1:0E, 2025-01-08 20:30:20, 2025-01-08 20:30:54, -70,        9, 64:20:E0:19:F3:09,
FA:84:10:EC:FF:6F, 2025-01-08 20:30:21, 2025-01-08 20:30:35, -59,        2, 64:20:E0:19:F3:0A,
02:EF:B9:59:D0:C8, 2025-01-08 20:30:23, 2025-01-08 20:30:23, -86,        1, 64:20:E0:19:F3:0A,
16:76:C5:E5:C2:E9, 2025-01-08 20:30:30, 2025-01-08 20:30:32, -76,        6, 64:20:E0:19:F3:0A,
12:23:7A:50:87:46, 2025-01-08 20:30:32, 2025-01-08 20:30:32, -83,        2, (not associated) ,Thor2558-5G
C2:D2:BA:3A:7B:6A, 2025-01-08 20:30:45, 2025-01-08 20:31:27, -83,        3, 64:20:E0:19:F3:0A,Thor2558-5G
08:1A:1E:87:48:8E, 2025-01-08 20:31:22, 2025-01-08 20:31:22,  -1,        1, 64:20:E0:19:F3:09,
08:1A:1E:98:29:F6, 2025-01-08 20:31:22, 2025-01-08 20:31:22,  -1,        1, 64:20:E0:19:F3:09,
92:52:2D:97:C0:B9, 2025-01-08 20:31:26, 2025-01-08 20:31:26, -85,        3, 64:20:E0:19:F3:0A,

