
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
64:20:E0:19:F3:0A, 2025-01-08 20:31:41, 2025-01-08 22:07:10, 36, 866, WPA2 WPA, CCMP, PSK, -39,      220,      105,   0.  0.  0.  0,  11, Thor2558-5G, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
5E:90:FB:BF:D8:FC, 2025-01-08 20:31:41, 2025-01-08 22:07:10, -33,     5895, 64:20:E0:19:F3:0A,
6E:C1:F3:AC:BD:35, 2025-01-08 20:32:04, 2025-01-08 22:06:49, -35,      461, 64:20:E0:19:F3:09,
92:52:2D:97:C0:B9, 2025-01-08 20:32:05, 2025-01-08 22:06:31, -81,      283, 64:20:E0:19:F3:0A,Thor2558-5G
12:23:7A:50:87:46, 2025-01-08 20:32:16, 2025-01-08 22:06:11, -81,      432, 00:00:00:00:00:00,Thor2558-5G
16:C2:CB:E8:19:6B, 2025-01-08 20:32:22, 2025-01-08 20:35:51, -84,       17, 64:20:E0:19:F3:09,Thor2558
C2:D2:BA:3A:7B:6A, 2025-01-08 20:32:48, 2025-01-08 22:06:50, -79,      718, 64:20:E0:19:F3:0A,Thor2558-5G
2E:8A:5B:F4:1A:5A, 2025-01-08 20:32:57, 2025-01-08 20:32:57, -63,        2, (not associated) ,
CE:C9:0A:7F:E1:0E, 2025-01-08 20:33:08, 2025-01-08 22:05:06, -69,      251, 64:20:E0:19:F3:09,Thor2558
02:EF:B9:59:D0:C8, 2025-01-08 20:33:09, 2025-01-08 22:05:04, -75,      110, 64:20:E0:19:F3:0A,Thor2558-5G
74:4C:A1:7D:09:A3, 2025-01-08 20:33:49, 2025-01-08 22:00:35, -65,      990, 64:20:E0:19:F3:0A,
FA:84:10:EC:FF:6F, 2025-01-08 20:34:43, 2025-01-08 22:06:50, -56,      213, 64:20:E0:19:F3:0A,Thor2558-5G
16:76:C5:E5:C2:E9, 2025-01-08 20:34:43, 2025-01-08 22:06:50, -74,       89, 64:20:E0:19:F3:0A,Thor2558-5G
A8:43:A4:9D:22:2B, 2025-01-08 20:34:52, 2025-01-08 21:53:16, -75,        5, F0:5C:19:08:58:61,
