
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
64:20:E0:19:F3:0A, 2025-01-10 13:48:52, 2025-01-10 16:07:13, 36, 866, WPA2 WPA, CCMP, PSK, -37,      261,       73,   0.  0.  0.  0,  11, Thor2558-5G, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
5E:90:FB:BF:D8:FC, 2025-01-10 13:48:52, 2025-01-10 16:07:11, -46,     8987, 64:20:E0:19:F3:0A,
12:A5:F9:3C:68:A7, 2025-01-10 13:49:48, 2025-01-10 14:02:09, -64,        6, 64:20:E0:19:F3:0A,
52:EF:81:FB:BA:D4, 2025-01-10 13:50:18, 2025-01-10 15:21:59, -40,      119, 64:20:E0:19:F3:0A,
12:23:7A:50:87:46, 2025-01-10 14:21:14, 2025-01-10 14:21:31, -86,        8, 64:20:E0:19:F3:0A,
F6:AE:FB:A3:60:DF, 2025-01-10 14:46:55, 2025-01-10 16:07:13, -61,    11941, 64:20:E0:19:F3:0A,
FA:84:10:EC:FF:6F, 2025-01-10 14:49:10, 2025-01-10 16:06:57, -54,      120, 64:20:E0:19:F3:0A,
E6:9C:67:A9:C9:18, 2025-01-10 15:21:25, 2025-01-10 15:31:32, -74,       21, 64:20:E0:19:F3:0A,
BE:44:AE:AF:5C:0A, 2025-01-10 15:22:02, 2025-01-10 16:06:44, -68,      113, 64:20:E0:19:F3:0A,
16:76:C5:E5:C2:E9, 2025-01-10 15:22:13, 2025-01-10 16:06:57, -71,      180, 64:20:E0:19:F3:0A,
90:DE:80:AC:05:B3, 2025-01-10 15:26:10, 2025-01-10 16:02:09, -67,       13, 64:20:E0:19:F3:0A,

